PREMIO,AÑO,NOMBRE,OBRA,CATEGORIA
Tony Award® Best Actress in a Play,2015,Helen Mirren,The Audience,femenina
Tony Award® Best Actor in a Musical,2015,Michael Cerveris,Fun Home,masculina
Tony Award® Best Actor in a Play,2015,Alex Sharp,The Curious Incident of the Dog in the Night-Time,masculina
Tony Award® Best Actress in a Musical,2015,Kelli O'Hara,The King and I,femenina
Tony Award® Best Actor in a Play,2014,Bryan Cranston,All The Way,masculina
Tony Award® Best Actress in a Play,2014,Audra McDonald,Lady Day at Emerson's Bar & Grill,femenina
Tony Award® Best Actress in a Musical,2014,Jessie Mueller,Beautiful The Carole King Musical,femenina
Tony Award® Best Actor in a Musical,2014,Neil Patrick Harris,Hedwig and the Angry Inch,masculina
Tony Award® Best Actor in a Musical,2013,Billy Porter,Kinky Boots,masculina
Tony Award® Best Actress in a Play,2013,Cicely Tyson,The Trip to Bountiful,femenina
Tony Award® Best Actress in a Musical,2013,Patina Miller,Pippin,femenina
Tony Award® Best Actor in a Play,2013,Tracy Letts,Who's Afraid of Virginia Woolf?,masculina
Tony Award® Best Actress in a Play,2012,Nina Arianda,Venus in Fur,femenina
Tony Award® Best Actor in a Musical,2012,Steve Kazee,Once,masculina
Tony Award® Best Actor in a Play,2012,James Corden,"One Man, Two Guvnors",masculina
Tony Award® Best Actress in a Musical,2012,Audra McDonald,The Gershwins' Porgy and Bess,femenina
Tony Award® Best Actress in a Musical,2011,Sutton Foster,Anything Goes,femenina
Tony Award® Best Actor in a Play,2011,Mark Rylance,Jerusalem,masculina
Tony Award® Best Actor in a Musical,2011,Norbert Leo Butz,Catch Me If You Can,masculina
Tony Award® Best Actress in a Play,2011,Frances McDormand,Good People,femenina
Tony Award® Best Actor in a Play,2010,Denzel Washington,Fences,masculina
Tony Award® Best Actor in a Musical,2010,Douglas Hodge,La Cage aux Folles,masculina
Tony Award® Best Actress in a Play,2010,Viola Davis,Fences,femenina
Tony Award® Best Actress in a Musical,2010,Catherine Zeta-Jones,A Little Night Music,femenina
Tony Award® Best Actor in a Musical,2009,David Alvarez,Billy Elliot: The Musical,masculina
Tony Award® Best Actress in a Play,2009,Marcia Gay Harden,God of Carnage,femenina
Tony Award® Best Actress in a Musical,2009,Alice Ripley,Next To Normal,femenina
Tony Award® Best Actor in a Play,2009,Geoffrey Rush,Exit the King,masculina
Tony Award® Best Actress in a Play,2008,Deanna Dunagan,August: Osage County,femenina
Tony Award® Best Actor in a Musical,2008,Paulo Szot,South Pacific,masculina
Tony Award® Best Actor in a Play,2008,Mark Rylance,Boeing-Boeing,masculina
Tony Award® Best Actress in a Musical,2008,Patti LuPone,Gypsy,femenina
Tony Award® Best Actress in a Play,2007,Julie White,The Little Dog Laughed,femenina
Tony Award® Best Actress in a Musical,2007,Christine Ebersole,Grey Gardens,femenina
Tony Award® Best Actor in a Musical,2007,David Hyde Pierce,Curtains,masculina
Tony Award® Best Actor in a Play,2007,Frank Langella,Frost/Nixon,masculina
Tony Award® Best Actor in a Play,2006,Richard Griffiths,The History Boys,masculina
Tony Award® Best Actor in a Musical,2006,John Lloyd Young,Jersey Boys,masculina
Tony Award® Best Actress in a Musical,2006,LaChanze,The Color Purple,femenina
Tony Award® Best Actress in a Play,2006,Cynthia Nixon,Rabbit Hole,femenina
Tony Award® Best Actress in a Play,2005,Cherry Jones,Doubt,femenina
Tony Award® Best Actress in a Musical,2005,Victoria Clark,The Light in the Piazza,femenina
Tony Award® Best Actor in a Musical,2005,Norbert Leo Butz,Dirty Rotten Scoundrels,masculina
Tony Award® Best Actor in a Play,2005,Bill Irwin,Who's Afraid of Virginia Woolf?,masculina
Tony Award® Best Actor in a Play,2004,Jefferson Mays,I Am My Own Wife,masculina
Tony Award® Best Actor in a Musical,2004,Hugh Jackman,The Boy From Oz,masculina
Tony Award® Best Actress in a Musical,2004,Idina Menzel,Wicked,femenina
Tony Award® Best Actress in a Play,2004,Phylicia Rashad,A Raisin in the Sun,femenina
Tony Award® Best Actress in a Play,2003,Vanessa Redgrave,Long Day's Journey Into Night,femenina
Tony Award® Best Actress in a Musical,2003,Marissa Jaret Winokur,Hairspray,femenina
Tony Award® Best Actor in a Musical,2003,Harvey Fierstein,Hairspray,masculina
Tony Award® Best Actor in a Play,2003,Brian Dennehy,Long Day's Journey Into Night,masculina
Tony Award® Best Actor in a Play,2002,Alan Bates,Fortune's Fool,masculina
Tony Award® Best Actor in a Musical,2002,John Lithgow,Sweet Smell of Success,masculina
Tony Award® Best Actress in a Musical,2002,Sutton Foster,Thoroughly Modern Millie,femenina
Tony Award® Best Actress in a Play,2002,Lindsay Duncan,Private Lives,femenina
Tony Award® Best Actress in a Play,2001,María Luisa Parker,Proof,femenina
Tony Award® Best Actress in a Musical,2001,Christine Ebersole,42nd Street,femenina
Tony Award® Best Actor in a Musical,2001,Nathan Lane,The Producers,masculina
Tony Award® Best Actor in a Play,2001,Richard Easton,The Invention of Love,masculina
Tony Award® Best Actor in a Play,2000,Stephen Dillane,The Real Thing,masculina
Tony Award® Best Actor in a Musical,2000,Brian Stokes Mitchell,"Kiss Me, Kate",masculina
Tony Award® Best Actress in a Musical,2000,Heather Headley,Aida,femenina
Tony Award® Best Actress in a Play,2000,Jennifer Ehle,The Real Thing,femenina
Tony Award® Best Actress in a Play,1999,Judi Dench,Amy's View,femenina
Tony Award® Best Actress in a Musical,1999,Bernadette Peters,Annie Get Your Gun,femenina
Tony Award® Best Actor in a Musical,1999,Martin Short,Little Me,masculina
Tony Award® Best Actor in a Play,1999,Brian Dennehy,Death of a Salesman,masculina
Tony Award® Best Actor in a Play,1998,Anthony LaPaglia,A View From the Bridge,masculina
Tony Award® Best Actor in a Musical,1998,Alan Cumming,Cabaret,masculina
Tony Award® Best Actress in a Musical,1998,Natasha Richardson,Cabaret,femenina
Tony Award® Best Actress in a Play,1998,María Mullen,The Beauty Queen of Leenane,femenina
Tony Award® Best Actor in a Musical,1997,James Naughton,Chicago,masculina
Tony Award® Best Actor in a Play,1997,Christopher Plummer,Barrymore,masculina
Tony Award® Best Actress in a Play,1997,Janet McTeer,A Doll's House,femenina
Tony Award® Best Actress in a Musical,1997,Bebe Neuwirth,Chicago,femenina
Tony Award® Best Actress in a Musical,1996,Donna Murphy,The King and I,femenina
Tony Award® Best Actress in a Play,1996,Zoe Caldwell,Master Class,femenina
Tony Award® Best Actor in a Play,1996,George Grizzard,A Delicate Balance,masculina
Tony Award® Best Actor in a Musical,1996,Nathan Lane,A Funny Thing Happened on the Way to the Forum,masculina
Tony Award® Best Actor in a Musical,1995,Matthew Broderick,How to Succeed in Business Without Really Trying,masculina
Tony Award® Best Actor in a Play,1995,Ralph Fiennes,Hamlet,masculina
Tony Award® Best Actress in a Play,1995,Cherry Jones,The Heiress,femenina
Tony Award® Best Actress in a Musical,1995,Glenn Close,Sunset Boulevard,femenina
Tony Award® Best Actress in a Musical,1994,Donna Murphy,Passion,femenina
Tony Award® Best Actress in a Play,1994,Diana Rigg,Medea,femenina
Tony Award® Best Actor in a Play,1994,Stephen Spinella,Angels in America: Perestroika,masculina
Tony Award® Best Actor in a Musical,1994,Boyd Gaines,She Loves Me,masculina
Tony Award® Best Actor in a Musical,1993,Brent Carver,Kiss of the Spider Woman,masculina
Tony Award® Best Actor in a Play,1993,Ron Leibman,Angels in America: Millennium Approaches,masculina
Tony Award® Best Actress in a Play,1993,Madeline Kahn,The Sisters Rosensweig,femenina
Tony Award® Best Actress in a Musical,1993,Chita Rivera,Kiss of the Spider Woman,femenina
Tony Award® Best Actress in a Musical,1992,Faith Prince,Guys and Dolls,femenina
Tony Award® Best Actress in a Play,1992,Glenn Close,Death and the Maiden,femenina
Tony Award® Best Actor in a Play,1992,Judd Hirsch,Conversations With My Father,masculina
Tony Award® Best Actor in a Musical,1992,Gregory Hines,Jelly's Last Jam,masculina
Tony Award® Best Actor in a Musical,1991,Jonathan Pryce,Miss Saigon,masculina
Tony Award® Best Actor in a Play,1991,Nigel Hawthorne,Shadowlands,masculina
Tony Award® Best Actress in a Play,1991,Mercedes Rühl,Lost in Yonkers,femenina
Tony Award® Best Actress in a Musical,1991,Lea Salonga,Miss Saigon,femenina
Tony Award® Best Actress in a Musical,1990,Tyne Daly,Gypsy,femenina
Tony Award® Best Actress in a Play,1990,Maggie Smith,Lettice and Lovage,femenina
Tony Award® Best Actor in a Play,1990,Robert Morse,Tru,masculina
Tony Award® Best Actor in a Musical,1990,James Naughton,City of Angels,masculina
Tony Award® Best Actor in a Musical,1989,Jason Alexander,Jerome Robbins' Broadway,masculina
Tony Award® Best Actor in a Play,1989,Philip Bosco,Lend Me a Tenor,masculina
Tony Award® Best Actress in a Play,1989,Pauline Collins,Shirley Valentine,femenina
Tony Award® Best Actress in a Musical,1989,Ruth Brown,Black and Blue,femenina
Tony Award® Best Actress in a Musical,1988,Joanna Gleason,Into the Woods,femenina
Tony Award® Best Actress in a Play,1988,Joan Allen,Burn This,femenina
Tony Award® Best Actor in a Play,1988,Ron Silver,Speed-the-Plow,masculina
Tony Award® Best Actor in a Musical,1988,Michael Crawford,The Phantom of the Opera,masculina
Tony Award® Best Actor in a Musical,1987,Robert Lindsay,Me and My Girl,masculina
Tony Award® Best Actor in a Play,1987,James Earl Jones,Fences,masculina
Tony Award® Best Actress in a Play,1987,Linda Lavin,Broadway Bound,femenina
Tony Award® Best Actress in a Musical,1987,Maryann Plunkett,Me and My Girl,femenina
Tony Award® Best Actress in a Musical,1986,Bernadette Peters,Song and Dance,femenina
Tony Award® Best Actress in a Play,1986,Lily Tomlin,The Search for Signs of Intelligent Life in the Universe,femenina
Tony Award® Best Actor in a Play,1986,Judd Hirsch,I'm Not Rappaport,masculina
Tony Award® Best Actor in a Musical,1986,George Rose,The Mystery of Edwin Drood,masculina
Tony Award® Best Actor in a Musical,1985,,,masculina
Tony Award® Best Actor in a Play,1985,Derek Jacobi,Much Ado About Nothing,masculina
Tony Award® Best Actress in a Play,1985,Stockard Channing,Joe Egg,femenina
Tony Award® Best Actress in a Musical,1985,,,femenina
Tony Award® Best Actress in a Musical,1984,Chita Rivera,The Rink,femenina
Tony Award® Best Actress in a Play,1984,Glenn Close,The Real Thing,femenina
Tony Award® Best Actor in a Play,1984,Jeremy Irons,The Real Thing,masculina
Tony Award® Best Actor in a Musical,1984,George Hearn,La Cage aux Folles,masculina
Tony Award® Best Actor in a Musical,1983,Tommy Tune,My One And Only,masculina
Tony Award® Best Actor in a Play,1983,Harvey Fierstein,Torch Song Trilogy,masculina
Tony Award® Best Actress in a Play,1983,Jessica Tandy,Foxfire,femenina
Tony Award® Best Actress in a Musical,1983,Natalia Makarova,On Your Toes,femenina
Tony Award® Best Actress in a Musical,1982,Jennifer Holliday,Dreamgirls,femenina
Tony Award® Best Actress in a Play,1982,Zoe Caldwell,Medea,femenina
Tony Award® Best Actor in a Play,1982,Roger Rees,The Life and Adventures of Nicholas Nickleby,masculina
Tony Award® Best Actor in a Musical,1982,Ben Harney,Dreamgirls,masculina
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
